fiscal_year,revenue,expenses,assets,liabilities,net_assets,contributions,program_service_revenue,investment_income,wages,source
2025,846390,745968,404855,63170,341685,768292,77324,774,376909,ProPublica/IRS Form 990
2024,576318,578599,251071,9808,241263,514869,42100,19349,279438,ProPublica/IRS Form 990
2023,687536,635143,292964,49420,243544,540903,146633,,268972,ProPublica/IRS Form 990
2022,499544,495889,199477,8326,191151,450611,48933,,207262,ProPublica/IRS Form 990
2021,416035,436765,222222,34726,187496,347014,69021,,195082,ProPublica/IRS Form 990
2020,407859,424291,233259,25033,208226,354870,51993,,121629,ProPublica/IRS Form 990
2019,436870,416228,229269,4611,224658,326769,102731,,58201,ProPublica/IRS Form 990
2018,454825,397467,224046,5030,219016,395787,,,94546,ProPublica/IRS Form 990
2017,369234,367292,155553,6895,148658,311313,,,109473,ProPublica/IRS Form 990
2016,407413,388556,135354,20638,114716,310481,,,127823,ProPublica/IRS Form 990
2015,375992,367980,104136,8277,95859,317475,,,138182,ProPublica/IRS Form 990
2014,311169,295073,95722,7875,87847,261594,,,114157,ProPublica/IRS Form 990
2013,180407,149794,76442,2845,73597,149241,31166,,42672,ProPublica/IRS Form 990
2012,194516,179214,45018,0,45018,143341,51175,,61701,ProPublica/IRS Form 990
2011,121489,97120,39993,0,39993,121489,0,,,ProPublica/IRS Form 990
