time_s,rms_dbfs,spectral_centroid_hz,onset_strength
0.0000,-18.0953,1146.000,1.63229
0.0427,-20.2175,1464.801,2.01870
0.0853,-22.3206,1811.062,2.15078
0.1280,-24.2387,2203.441,2.18928
0.1707,-25.6642,2412.888,2.39656
0.2133,-26.9028,2322.498,2.58468
0.2560,-23.0580,2203.540,2.70216
0.2987,-21.3289,1941.693,2.82720
0.3413,-20.2346,1653.664,2.93646
0.3840,-19.5905,1457.261,2.53731
0.4267,-19.3225,1253.381,2.16058
0.4693,-19.3600,1047.027,2.07312
0.5120,-18.9566,1004.311,2.01287
0.5547,-18.6867,1039.617,1.99533
0.5973,-18.6441,1105.108,1.97061
0.6400,-18.7789,1188.718,2.01287
0.6827,-18.8097,1249.931,1.78658
0.7253,-18.6246,1255.211,1.76880
0.7680,-18.2065,1170.537,1.82326
0.8107,-18.1470,1053.143,1.72960
0.8533,-17.9692,968.299,1.62633
0.8960,-17.7819,872.980,1.60057
0.9387,-17.3506,842.785,1.57729
0.9813,-17.3501,818.955,1.63227
1.0240,-17.5840,772.280,1.60575
1.0667,-17.7079,766.677,1.58529
1.1093,-18.2419,846.922,1.61239
1.1520,-18.5135,904.402,1.74386
1.1947,-18.2193,930.660,1.79890
1.2373,-18.1610,890.542,1.80408
1.2800,-18.0709,807.151,1.78370
1.3227,-18.2041,757.930,1.69835
1.3653,-18.1750,726.515,1.73004
1.4080,-18.1892,742.121,1.70380
1.4507,-18.1266,724.999,1.70893
1.4933,-18.0371,726.655,1.69504
1.5360,-18.0007,744.798,1.68492
1.5787,-17.8021,843.535,1.68589
1.6213,-18.1535,946.676,1.55127
1.6640,-18.2073,999.230,1.56509
1.7067,-18.2726,1027.646,1.53802
1.7493,-18.2269,924.688,1.53296
1.7920,-17.7675,831.762,1.36851
1.8347,-18.0621,733.890,1.26824
1.8773,-17.9572,645.485,1.24979
1.9200,-18.1361,573.481,1.20220
1.9627,-17.9412,492.845,1.26531
2.0053,-18.2019,430.198,1.21499
2.0480,-18.4714,379.808,1.40455
2.0907,-18.7737,411.491,1.36851
2.1333,-19.5660,446.387,1.40937
2.1760,-19.5426,489.704,1.50814
2.2187,-19.7079,517.849,1.62919
2.2613,-19.5809,478.712,1.77408
2.3040,-19.1853,465.656,1.79520
2.3467,-19.4295,459.620,1.88681
2.3893,-19.3963,481.719,1.87306
2.4320,-19.4466,540.291,1.87234
2.4747,-19.2417,582.011,1.93493
2.5173,-19.0036,621.960,1.89923
2.5600,-19.0045,688.178,1.91674
2.6027,-19.1712,769.279,1.88446
2.6453,-19.1088,856.627,1.96331
2.6880,-19.0598,918.625,1.87806
2.7307,-19.7807,875.696,1.88103
2.7733,-19.6399,789.355,1.82926
2.8160,-19.2754,761.126,1.70523
2.8587,-19.3456,713.068,1.56631
2.9013,-19.2761,656.500,1.49532
2.9440,-19.0470,627.282,1.53112
2.9867,-19.0192,572.972,1.45233
3.0293,-18.7209,550.578,1.56238
3.0720,-18.8104,604.849,1.51375
3.1147,-19.2747,648.769,1.65045
3.1573,-19.0354,651.215,1.88012
3.2000,-18.4409,630.187,2.02705
3.2427,-18.9572,576.375,2.07701
3.2853,-18.8592,535.579,2.03627
3.3280,-18.6964,550.362,2.00537
3.3707,-18.6345,553.101,1.98004
3.4133,-18.3856,581.595,1.99118
3.4560,-18.1935,616.711,2.04851
3.4987,-18.0897,653.596,2.11199
3.5413,-17.9189,723.833,2.11310
3.5840,-18.3279,815.609,2.16667
3.6267,-18.4652,901.654,2.26275
3.6693,-18.6383,940.392,2.19629
3.7120,-18.6405,900.064,2.17249
3.7547,-18.5395,849.291,2.00386
3.7973,-18.4377,845.237,1.81029
3.8400,-18.7756,813.167,1.93233
3.8827,-19.1715,775.009,1.83936
3.9253,-19.4932,725.137,1.81879
3.9680,-19.7106,647.346,1.83070
4.0107,-19.6975,606.875,1.89735
4.0533,-19.7798,642.591,1.94939
4.0960,-20.2494,651.695,2.00079
4.1387,-19.9022,637.370,2.09042
4.1813,-19.4590,611.180,2.09752
4.2240,-19.9626,577.288,2.05682
4.2667,-19.7335,588.807,1.98615
4.3093,-19.4878,683.201,1.92980
4.3520,-19.5275,705.913,1.96112
4.3947,-19.1928,793.797,1.89525
4.4373,-19.1795,895.236,1.87837
4.4800,-19.1654,919.734,1.58100
4.5227,-19.1550,973.823,1.60427
4.5653,-19.5842,979.736,1.53519
4.6080,-19.5886,965.564,1.48465
4.6507,-19.2434,867.497,1.41920
4.6933,-19.0920,774.958,1.38827
4.7360,-19.4488,613.659,1.31798
4.7787,-19.1262,453.837,1.12190
4.8213,-19.1757,354.035,1.10680
4.8640,-19.3379,265.322,1.08567
4.9067,-19.3842,253.115,1.07095
4.9493,-19.3528,218.709,1.08609
4.9920,-19.1931,202.872,1.20934
5.0347,-19.1721,224.740,1.32018
5.0773,-19.7093,258.602,1.52078
5.1200,-19.8901,299.071,1.65201
5.1627,-19.8189,322.745,1.78487
5.2053,-19.7470,338.555,1.83015
5.2480,-19.6707,385.368,1.78344
5.2907,-19.3782,462.511,1.86662
5.3333,-19.3511,525.503,1.87485
5.3760,-18.9675,618.436,1.87859
5.4187,-18.9026,695.559,1.96006
5.4613,-18.8839,759.671,1.99161
5.5040,-18.7552,863.916,1.97815
5.5467,-18.8656,978.553,1.94977
5.5893,-18.7796,1049.690,1.98970
5.6320,-18.3819,1097.158,2.07611
5.6747,-18.5248,1052.490,2.09865
5.7173,-18.7506,946.168,1.97042
5.7600,-18.4723,880.313,1.95133
5.8027,-18.6783,844.819,1.86387
5.8453,-18.8470,808.724,1.96590
5.8880,-18.9647,837.082,2.01422
5.9307,-18.9770,857.954,2.04427
5.9733,-18.8887,975.786,2.14920
6.0160,-19.1920,1236.548,2.07617
6.0587,-19.6582,1527.727,2.09793
6.1013,-19.5059,1905.229,2.21159
6.1440,-18.9703,2076.903,2.45518
6.1867,-19.3216,2064.755,2.56102
6.2293,-19.3891,2028.424,2.58653
6.2720,-18.9485,2028.297,2.43960
6.3147,-19.0570,1887.623,2.41635
6.3573,-18.6870,1707.454,2.34172
6.4000,-18.7534,1516.405,2.30043
6.4427,-18.8273,1188.918,2.23847
6.4853,-18.6579,1083.042,2.15509
6.5280,-18.9505,1120.394,2.10558
6.5707,-19.0922,1127.994,2.04123
6.6133,-19.1185,1096.550,1.96366
6.6560,-18.9573,1015.351,2.02032
6.6987,-18.9387,918.519,1.99479
6.7413,-18.7852,866.346,1.83806
6.7840,-18.8780,842.307,1.59592
6.8267,-19.0407,758.244,1.54477
6.8693,-18.9612,729.214,1.45699
6.9120,-18.9833,648.611,1.40900
6.9547,-18.8696,593.465,1.70850
6.9973,-19.0185,633.594,1.68819
7.0400,-19.6283,642.236,1.68599
7.0827,-19.4581,624.065,1.84186
7.1253,-18.9872,604.862,1.85284
7.1680,-19.4725,560.049,1.97049
7.2107,-19.4841,489.057,1.93114
7.2533,-19.1239,519.429,1.89478
7.2960,-19.3957,508.929,1.91906
7.3387,-19.1116,530.196,1.92785
7.3813,-19.1387,606.641,1.92879
7.4240,-19.1934,632.830,1.95065
7.4667,-19.1094,706.417,1.99198
7.5093,-19.4388,812.192,1.96783
7.5520,-19.7022,889.274,2.13988
7.5947,-20.0362,923.266,1.84665
7.6373,-20.0004,895.159,1.87923
7.6800,-20.0126,827.148,1.91295
7.7227,-19.8055,801.124,1.72996
7.7653,-19.7870,788.324,1.70623
7.8080,-19.9282,734.184,1.64871
7.8507,-19.8905,741.383,1.60785
7.8933,-20.1084,716.795,1.65779
7.9360,-19.9754,694.071,1.63604
7.9787,-20.0748,759.836,1.55708
8.0213,-20.6510,782.005,1.53800
8.0640,-20.1207,788.274,1.60224
8.1067,-19.5932,766.707,1.80354
8.1493,-20.0703,699.555,2.00401
8.1920,-20.0165,581.939,1.89357
8.2347,-19.6351,548.028,1.91000
8.2773,-19.7915,490.785,1.92154
8.3200,-20.0637,475.499,1.86970
8.3627,-19.8403,536.215,1.95191
8.4053,-19.8180,595.689,1.94014
8.4480,-19.7765,681.218,1.99082
