fiscal_year,total_revenue,contributions_grants,government_grants,program_service_revenue,total_expenses,top_exec_comp,net_assets,filing_url,source
2012,4900,4900,,0,0,,4900,https://projects.propublica.org/nonprofits/display_990/461097738/2014_01_EO%2F46-1097738_990EZ_201212,ProPublica summary (990-EZ)
2013,215291,182500,,0,168404,,51787,https://projects.propublica.org/nonprofits/organizations/461097738/201443189349303964/full,ProPublica summary
2014,1306327,886624,,362356,1171643,,186471,https://projects.propublica.org/nonprofits/organizations/461097738/201503209349314675/full,ProPublica summary
2015,2869041,1989606,,500318,2283062,,772450,https://projects.propublica.org/nonprofits/organizations/461097738/201603209349317610/full,ProPublica summary
2016,3625522,2640303,,758878,3469242,,928730,https://projects.propublica.org/nonprofits/organizations/461097738/201723199349319812/full,ProPublica summary
2017,6055241,4941234,,910632,5544113,150000,1439858,https://projects.propublica.org/nonprofits/organizations/461097738/201843199349306189/full,ProPublica summary
2018,7506234,6723647,,721731,6680659,162500,2265433,https://projects.propublica.org/nonprofits/organizations/461097738/201903159349304025/full,ProPublica summary
2019,14225980,12184712,,1644602,7557149,144406,8934264,https://projects.propublica.org/nonprofits/organizations/461097738/202031919349302478/full,ProPublica summary (capital campaign launch year)
2020,9737121,9280986,,453450,5817051,286731,12854334,https://projects.propublica.org/nonprofits/organizations/461097738/202122249349301962/full,ProPublica summary (Shiner ED)
2021,7041619,6659196,,381460,6535212,233140,13360741,https://projects.propublica.org/nonprofits/organizations/461097738/202243189349318189/full,ProPublica summary
2022,10424515,9590229,,833744,8666931,188928,15118325,https://projects.propublica.org/nonprofits/organizations/461097738/202323199349315687/full,ProPublica summary
2023,13401014,11709988,,970411,10555334,216000,17864005,https://projects.propublica.org/nonprofits/organizations/461097738/202403209349312675/full,ProPublica summary (Manus CEO; capital campaign closing)
2024,9963860,9059301,,606712,8229322,299738,19598543,https://projects.propublica.org/nonprofits/organizations/461097738/202542939349301274/full,ProPublica summary
