metric,2025_value,change_vs_2024,source
Average monthly on-platform visitors,4300000,+42%,ProPublica 2025 Annual Report
Average monthly off-platform visitors,1900000,-5%,ProPublica 2025 Annual Report
Average monthly views,13900000,+16%,ProPublica 2025 Annual Report
Total video views,35400000,+151%,ProPublica 2025 Annual Report
Social media followers,3200000,+35%,ProPublica 2025 Annual Report
Unique newsletter subscribers,664000,+5%,ProPublica 2025 Annual Report
Republished articles,3236,+135%,ProPublica 2025 Annual Report
Media mentions,73939,-21%,ProPublica 2025 Annual Report
Event attendees,8990,+68%,ProPublica 2025 Annual Report
Publishing and reporting partners,74,,ProPublica 2025 Annual Report
Historic partner organizations,344,,ProPublica 2025 Annual Report
Donors,more than 80000,,ProPublica 2025 Annual Report
