name,public_affiliation,role,source
Paul Sagan,General Catalyst,Chair,ProPublica 2025 Annual Report
Claire Bernard,Mariposa Foundation,Director,ProPublica 2025 Annual Report
Tomiko Brown-Nagin,Harvard Radcliffe Institute and Harvard Law School,Director,ProPublica 2025 Annual Report
Mark Colodny,Warburg Pincus,Director,ProPublica 2025 Annual Report
Steve Daetz,Sandler Foundation,Director,ProPublica 2025 Annual Report
Angela Filo,Skyline Foundation,Director,ProPublica 2025 Annual Report
Henry Louis Gates Jr.,Harvard University,Director,ProPublica 2025 Annual Report
Claire Hoffman,Goldhirsh Foundation,Director,ProPublica 2025 Annual Report
Jonathan Klein,Getty Images co-founder,Director,ProPublica 2025 Annual Report
Anu Khosla,,Director,ProPublica 2025 Annual Report
Carrie Lozano,ITVS,Director,ProPublica 2025 Annual Report
Katie McGrath,Bad Robot Productions,Director,ProPublica 2025 Annual Report
Robert C.S. Monks,Monks O'Neil Development,Director,ProPublica 2025 Annual Report
James M. Stone,Plymouth Rock Assurance Company,Director,ProPublica 2025 Annual Report
Charles Whitaker,Northwestern Medill School of Journalism,Director,ProPublica 2025 Annual Report
