fiscal_year,revenue,expenses,assets,liabilities,net_assets,contributions,investment_income,other_salaries_wages,executive_compensation,status,source
2025,70470000,51348578,,,70900000,,,,,preliminary unaudited; net_assets field contains board-designated reserves,ProPublica 2025 Annual Report
2024,64268632,45741720,108058174,10000765,98057409,61189839,2074199,27262645,2330844,IRS Form 990,ProPublica Nonprofit Explorer
2023,57970562,44080009,85514123,10080757,75433366,55857720,1254618,25080339,2232164,IRS Form 990,ProPublica Nonprofit Explorer API
2022,44530761,40322509,63355096,5640618,57714478,43284166,607791,23199627,1893290,IRS Form 990,ProPublica Nonprofit Explorer API
2021,36005300,34153121,60782681,855582,59927099,35406294,161125,20541534,1796272,IRS Form 990,ProPublica Nonprofit Explorer API
2020,37513092,30208192,58666359,883526,57782833,36816824,146204,17660400,1260183,IRS Form 990,ProPublica Nonprofit Explorer API
2019,39246884,28630586,51252809,748489,50504320,37366751,515219,15804374,1229154,IRS Form 990,ProPublica Nonprofit Explorer API
2018,26685933,24104461,40988939,1094094,39894845,25576127,288025,12893421,1205372,IRS Form 990,ProPublica Nonprofit Explorer API
2017,43574038,18290801,38070942,746162,37324780,43063123,52985,9839291,1198715,IRS Form 990,ProPublica Nonprofit Explorer API
2016,14545521,13766881,12429526,384259,12045267,13765153,2208,7173056,1281333,IRS Form 990,ProPublica Nonprofit Explorer API
2015,17046930,12461149,11552064,285437,11266627,16882164,3919,6628192,1272433,IRS Form 990,ProPublica Nonprofit Explorer API
2014,10324275,11486452,6865118,184272,6680846,10169976,4176,6000803,1343765,IRS Form 990,ProPublica Nonprofit Explorer API
2013,13765467,10332809,7938469,95446,7843023,13678241,103,5360565,1338618,IRS Form 990,ProPublica Nonprofit Explorer API
2012,10955982,9884450,4529443,119078,4410365,10920019,50,0,0,IRS Form 990,ProPublica Nonprofit Explorer API
2011,10142780,9651650,3591151,252318,3338833,10115367,83,4522408,1552988,IRS Form 990,ProPublica Nonprofit Explorer API
