fiscal_year_end,filing_status,total_revenue,contributions_grants,government_grants,all_other_contributions,program_service_revenue,investment_income,fundraising_event_gross,fundraising_event_net,misc_revenue,total_expenses,officer_compensation,other_salaries_wages,payroll_tax,total_assets,total_liabilities,net_assets,public_support_5yr,source
2011-06,filed,371188,297145,,,69215,10,,,4818,381261,75940,148727,19722,36054,77404,-41350,1529177,ProPublica API v2
2012-06,filed,437058,312219,,,80339,23,36114,,8363,431581,,164664,16424,72930,108803,-35873,1656001,ProPublica API v2
2013-06,filed,439222,333630,,,76647,5,14633,,14307,402962,48077,179990,16213,41019,40632,387,1767244,ProPublica API v2
2014-06,filed,448025,345955,,,76607,3,2322,,23138,425807,68832,162586,17935,67315,44710,22605,1846053,ProPublica API v2
2015-06,filed,546392,434753,,,89407,10,18656,,22222,460302,62500,204418,20729,188768,80073,108695,2046296,ProPublica API v2
2016-06,filed,1462022,1427710,,,19065,226,,,15021,496062,46875,216424,19422,1114543,39888,1074655,3107646,ProPublica API v2
2017-06,filed,551966,531727,,,16294,433,12300,,8953,865932,73438,403435,35387,825303,64614,760689,3257665,ProPublica API v2
2018-06,filed,1702771,1646127,,,56101,342,9400,,7439,1235650,96675,577732,49384,1281770,53960,1227810,4512297,ProPublica API v2
2019-06,filed,690011,592847,,,89312,298,12097,,7554,1345447,101010,701713,62255,621724,49350,572374,4697968,ProPublica API v2
2020-06,filed,818729,695867,,,91317,161,17888,,31384,1150667,101010,531626,48679,529820,289384,240436,4894278,ProPublica API v2
2021-06,filed,785362,578659,296794,266777,186192,36,,,20475,935315,96012,531013,,259839,169356,90483,4045227,IRS XML 202210259349301111 (also: salaries field is total Part I line 15 incl benefits)
2022-06,filed,2163941,2075017,163122,1790794,65964,86,103812,-42947,1136,1149266,241690,608721,40537,1209872,104714,1105158,5568810,IRS XML 202341359349313669 (Schedule G — auction net LOSS -$42,947 on $103,812 gross; salaries field is total Part I line 15)
2023-06,original,882002,787676,107000,531591,57302,82,0,,7271,1312087,237600,690516,,1147646,472573,675073,4684532,IRS XML 202421359349313247 (filed 2024)
2023-06,amended,756974,731464,107000,492890,57303,82,123258,-68967,7271,1211908,213430,690516,,,,650223,,IRS XML 202520359349301517 (filed 2025; reclassified ~$125K out of revenue; Schedule G — auction net LOSS -$68,967 on $123,258 gross)
2024-06,original,923010,733908,100023,528678,173791,,,,,1292390,216230,560829,,,,305693,,IRS XML 202541359349310014 (filed mid-2025; gala recorded as $89K pure contributions, no event net)
2024-06,amended,821964,741790,99500,521679,103821,,104407,-67115,,1210294,226771,554223,,363096,101203,261893,,IRS XML 202521899349301402 (filed July 2025; Schedule G — GALA net LOSS -$67,115 on $104,407 gross)
