fiscal_year_end,filing_status,total_revenue,contributions_grants,program_service_revenue,total_expenses,officer_compensation,total_assets,total_liabilities,net_assets,source
2011-06,filed,5757895,4003836,71643,4808127,206693,10640545,1063818,9576727,ProPublica EIN 13-2590805
2012-06,filed,4845383,3085801,74042,5266181,408388,10250604,1210199,9040405,ProPublica EIN 13-2590805
2013-06,filed,6703088,4499968,99107,5316271,386744,12016128,1585942,10430186,ProPublica EIN 13-2590805
2014-06,filed,9611899,7686926,89029,5723286,381594,16991716,2388098,14603618,ProPublica EIN 13-2590805
2015-06,filed,7100072,4757133,224420,6351044,437456,17084971,2156085,14928886,ProPublica EIN 13-2590805
2016-06,filed,18501821,16245379,114369,7054205,455239,28079268,1687908,26391360,ProPublica EIN 13-2590805
2017-06,filed,31021557,28640744,135800,7761083,457975,51997580,2300405,49697175,ProPublica EIN 13-2590805
2018-06,filed,61730334,59783251,47868,9173832,424818,103832196,1423595,102408601,ProPublica EIN 13-2590805
2019-06,filed,17946629,17853024,2600,12454332,457670,109197151,835768,108361383,ProPublica EIN 13-2590805
2020-06,filed,14931743,11906180,6250,10615641,658509,115376323,1297853,114078470,ProPublica EIN 13-2590805
2021-06,filed,40471884,38093942,0,11496543,560116,153708532,8596479,145112053,ProPublica EIN 13-2590805
2022-06,filed,59914680,57770204,72000,13414272,1222054,196634585,13746362,182888223,ProPublica EIN 13-2590805
2023-06,filed,47220609,42821762,271955,16164729,1564012,254906032,39217088,215688944,ProPublica EIN 13-2590805
2024-06,filed,43385519,38443941,217590,17603871,1326455,300541938,55761521,244780417,ProPublica EIN 13-2590805
