piece,type,server_hits,first_hit,last_hit
prompt,system,4994635,Wed Dec 31,Wed Sep 09
+CSCOE+/logon.html,system,20435,Wed Apr 01,Mon Sep 07
laer-klokken,system,19800,Wed Dec 31,Wed Sep 09
nopaint,system,11093,Thu Apr 23,Wed Sep 09
notepat,system,10981,Wed Dec 31,Wed Sep 09
+webvpn+/index.html,system,9802,Tue Apr 14,Thu Aug 06
$bop,system,3775,Fri Jan 02,Wed Sep 09
$4xa,system,3172,Tue Jan 13,Wed Sep 09
$ceo,system,2927,Sat Jan 03,Wed Sep 09
$roz,system,2858,Fri Jan 02,Wed Sep 09
$pie,system,2798,Sat Jan 03,Wed Sep 09
$cow,system,2517,Sat Jan 03,Wed Sep 09
starfield,system,2094,Sat Mar 28,Wed Sep 09
$nsh,system,1940,Wed Jan 14,Tue Sep 08
$4bb,system,1906,Mon Jan 05,Wed Sep 09
$dlb,system,1830,Tue Jan 20,Wed Sep 09
api/.env,system,1817,Thu Jan 01,Wed Sep 09
$rzo,system,1785,Tue Jan 20,Wed Sep 09
$9ay,system,1745,Tue Jan 13,Wed Sep 09
$87a,system,1743,Sun Jan 04,Wed Sep 09
$isd,system,1730,Thu Jan 22,Wed Sep 09
$wa9,system,1721,Tue Jan 20,Wed Sep 09
prutti,system,1710,Wed Dec 31,Wed Sep 09
$17m,system,1666,Tue Jan 20,Wed Sep 09
$c4x,system,1660,Sun Jan 04,Wed Sep 09
