# layer	medianMidi	medianHz	shiftToTargetSt
# TARGET 47.10 MIDI (B2) 124.2 Hz
eleven:money	51.33	158.5	-4.23
eleven:honey	51.49	160.0	-4.40
eleven:bunnies	47.10	124.2	0.00
wizard:money	52.84	173.0	-5.74
wizard:honey	54.93	195.2	-7.84
wizard:bunnies	51.16	157.0	-4.06
choir:bad-news-bunnies	45.18	111.2	1.92
choir:bad-news-honey	45.18	111.2	1.92
choir:bad-news-money	45.18	111.2	1.92
choir:bahh-bunnies	49.56	143.1	-2.46
choir:bells-bunnies	45.99	116.5	1.11
choir:bells-honey	45.97	116.3	1.13
choir:bells-money	45.42	112.7	1.67
choir:boing-bunnies	41.47	89.7	5.63
choir:boing-honey	41.51	89.9	5.59
choir:boing-money	41.51	89.9	5.59
choir:cellos-bunnies	44.71	108.2	2.39
choir:cellos-honey	44.70	108.1	2.40
choir:cellos-money	44.69	108.1	2.40
choir:good-news-bunnies	53.92	184.2	-6.83
choir:good-news-honey	54.05	185.6	-6.96
choir:good-news-money	53.92	184.1	-6.82
choir:organ-bunnies	41.70	90.9	5.40
choir:organ-honey	41.70	90.9	5.39
choir:organ-money	41.69	90.8	5.41
choir:trinoids-bunnies	56.57	214.6	-9.47
choir:trinoids-honey	56.47	213.4	-9.38
choir:trinoids-money	56.29	211.1	-9.19
choir:whisper-bunnies	56.69	216.1	-9.59
choir:whisper-honey	57.82	230.7	-10.73
choir:whisper-money	57.82	230.7	-10.73
choir:wobble-bunnies	59.32	251.6	-12.23
choir:wobble-honey	59.17	249.4	-12.07
choir:wobble-money	59.35	252.0	-12.25
choir:zarvox-bunnies	41.45	89.6	5.65
choir:zarvox-honey	41.46	89.7	5.64
choir:zarvox-money	41.46	89.7	5.63
