beat,P60,P72
3,11,0
6,8,0
9,4,0
12,5,0
16,5,0
19,5,0
22,6,0
26,5,0
29,5,0
32,5,0
35,6,0
38,6,0
42,4,0
45,2,0
48,5,0
51,8,0
55,7,0
58,9,0
61,12,0
64,17,0
67,13,0
71,9,0
74,10,0
77,18,0
80,21,0
84,9,0
87,18,0
90,19,0
93,15,0
97,5,0
100,4,0
103,6,0
107,5,0
110,7,0
113,5,0
117,5,0
120,6,0
123,5,0
127,6,0
130,6,0
133,6,0
137,5,0
140,0,0
143,6,0
146,7,0
150,7,0
153,11,0
157,10,0
160,25,0
163,29,0
166,10,0
170,24,0
173,57,0
176,48,0
180,29,0
183,40,0
186,58,0
189,54,2
193,13,4
196,22,3
199,38,0
203,19,0
206,7,6
210,6,6
213,4,5
216,20,0
219,16,0
222,20,0
226,30,0
229,41,0
232,50,0
236,50,0
239,54,8
242,52,14
245,70,4
249,100,0
252,75,0
255,64,1
259,66,7
262,94,0
265,85,0
269,38,0
272,86,6
275,82,3
279,53,0
282,65,0
285,57,0
289,77,0
292,97,1
295,112,0
299,111,0
302,119,1
305,111,2
309,114,1
312,136,0
315,149,2
319,129,0
322,137,0
326,158,0
329,125,0
332,132,0
335,138,0
339,160,0
342,179,0
345,201,0
349,190,0
352,203,0
355,179,0
359,156,0
362,161,2
366,121,5
369,99,2
372,79,0
375,81,0
379,70,0
382,47,0
386,31,0
389,38,0
392,48,0
395,50,0
399,69,0
402,72,0
406,62,0
409,75,0
412,87,0
415,84,0
419,75,0
422,60,0
425,71,0
428,58,0
432,51,0
435,40,0
438,27,0
441,27,0
445,17,0
448,11,0
451,5,0
455,12,0
458,10,0
461,4,0
465,7,0
468,1,0
472,0,0
475,5,0
478,1,0
482,4,0
485,2,0
489,1,0
492,1,0
495,2,0
498,0,0
502,1,0
505,2,0
509,1,0
512,2,0
516,2,0
519,2,0
522,0,0
525,1,0
529,1,0
