"rank","id","date","views","likes","comments","reposts","saves","duration_seconds","audit","matched_terms","caption","tiktok_url","asset_url"
"1","6984626715117079814","2021-07-14","120300000","4900000","20000","24200","289900","17","ocr-clear","","🙂🏘 best friends duet w/ @applinfreundlich #neighbor #besties #fountainpen #cute","https://www.tiktok.com/@whistlegraph/video/6984626715117079814","https://assets.aesthetic.computer/whistlegraph/index/posts/6984626715117079814.mp4"
"2","6922359455686397189","2021-01-27","87100000","4200000","26100","19500","215900","18","ocr-clear","","more butterfliez ✒️🎶","https://www.tiktok.com/@whistlegraph/video/6922359455686397189","https://assets.aesthetic.computer/whistlegraph/index/posts/6922359455686397189.mp4"
"3","7025102707417435398","2021-10-31","77800000","5300000","50900","28800","199500","12","ocr-clear","","we have done these near your house 🔺","https://www.tiktok.com/@whistlegraph/video/7025102707417435398","https://assets.aesthetic.computer/whistlegraph/index/posts/7025102707417435398.mp4"
"4","6925546179275099397","2021-02-04","50800000","2500000","6827","4616","97500","19","ocr-clear","","🏭🍪💇‍♀️🕊","https://www.tiktok.com/@whistlegraph/video/6925546179275099397","https://assets.aesthetic.computer/whistlegraph/index/posts/6925546179275099397.mp4"
"5","6987889824237767941","2021-07-22","42200000","854000","1783","1928","20400","11","ocr-clear","","this whistlegraph was brought to u by the number… ✒️🎶 #learnontiktok #doodle #math #art #counting w/ @applinfreundlich","https://www.tiktok.com/@whistlegraph/video/6987889824237767941","https://assets.aesthetic.computer/whistlegraph/index/posts/6987889824237767941.mp4"
"6","7055106286232325423","2022-01-20","39600000","2100000","11400","18900","64200","8","ocr-clear","","dot dot dot dash dash dash dot dot dot (jk)","https://www.tiktok.com/@whistlegraph/video/7055106286232325423","https://assets.aesthetic.computer/whistlegraph/index/posts/7055106286232325423.mp4"
"7","6887389067546348805","2020-10-25","37300000","2200000","4395","3590","92400","33","ocr-clear","","""Pumpkin Carver"" composed by @adeelaaaide 🆕 whistlegraph performed by myself, Camille & @hippiethoughts 🎃 #doodle #art #drawing #aesthetic #fyp","https://www.tiktok.com/@whistlegraph/video/6887389067546348805","https://assets.aesthetic.computer/whistlegraph/index/posts/6887389067546348805.mp4"
"8","7156425014999305518","2022-10-20","28600000","2000000","11100","6374","162700","15","ocr-clear","","don’t ask questions you don’t want the answers to","https://www.tiktok.com/@whistlegraph/video/7156425014999305518","https://assets.aesthetic.computer/whistlegraph/index/posts/7156425014999305518.mp4"
"9","7080453509149134126","2022-03-29","28300000","2300000","10600","4723","89900","10","ocr-clear","","spring flower","https://www.tiktok.com/@whistlegraph/video/7080453509149134126","https://assets.aesthetic.computer/whistlegraph/index/posts/7080453509149134126.mp4"
"10","6944230561737149701","2021-03-27","28200000","787700","498","1338","12000","10","ocr-clear","","this is how i greet whistlegraph house guests before they betray us and we kick them out! @xnastasia 🤬","https://www.tiktok.com/@whistlegraph/video/6944230561737149701","https://assets.aesthetic.computer/whistlegraph/index/posts/6944230561737149701.mp4"
"11","7011284068969024773","2021-09-24","25900000","1100000","2829","1214","23700","14","ocr-clear","","playing our beat game on the slab 🪄 #streetart #newgame #poetry #chalk #skater","https://www.tiktok.com/@whistlegraph/video/7011284068969024773","https://assets.aesthetic.computer/whistlegraph/index/posts/7011284068969024773.mp4"
"12","7199367653008428334","2023-02-12","24800000","398500","4023","1909","57500","18","ocr-clear","","U can learn it! 🫵🍎 #cute #drawing","https://www.tiktok.com/@whistlegraph/video/7199367653008428334","https://assets.aesthetic.computer/whistlegraph/index/posts/7199367653008428334.mp4"
"13","7035561380962929966","2021-11-28","23200000","875700","8322","2804","24000","17","ocr-clear","","overdubbing the chalk triangles we did outside the hardware store 🧑‍🏫","https://www.tiktok.com/@whistlegraph/video/7035561380962929966","https://assets.aesthetic.computer/whistlegraph/index/posts/7035561380962929966.mp4"
